state,totalPopulation,medianAge,under18,over18,householders,parents,households,avgFamilySize,married,divorced,noHighSchoolDiploma,highSchoolDiploma,someCollege,bachelorsDegree,graduateDegree,HighSchoolOrHigher,employed,unemployed,notInLaborForce,drive,carpool,publicTransit,walk,medianHouseholdIncome,meanHouseholdIncome,percentReceivingPublicAssistance,meanPublicAssistanceIncome,percentOnSNAP,medianFamilyIncome,perCapitaIncome,privateHealthInsured,publicHealthInsured,noHealthInsured,percentImpoverished,medianRent
Georgia,9815725.00,35.60,2488029.00,7327696.00,0.54,0.32,3504888.00,3.32,0.48,0.11,0.15,0.29,0.28,0.18,0.10,0.85,0.56,0.08,0.36,0.79,0.11,0.02,0.02,47642.00,67493.00,0.02,3550.00,0.15,57080.00,24396.00,0.62,0.28,0.19,0.14,849.00
Hawaii,1378239.00,38.50,303734.00,1074505.00,0.51,0.29,447566.00,3.59,0.50,0.10,0.10,0.28,0.32,0.20,0.10,0.90,0.58,0.05,0.34,0.66,0.15,0.06,0.05,65087.00,78066.00,0.04,5353.00,0.10,77781.00,28354.00,0.76,0.30,0.07,0.08,1353.00
Idaho,1583422.00,34.90,427577.00,1155845.00,0.58,0.32,580280.00,3.20,0.56,0.12,0.11,0.28,0.36,0.17,0.08,0.89,0.58,0.06,0.36,0.78,0.10,0.01,0.03,45395.00,57350.00,0.03,2715.00,0.13,54654.00,21967.00,0.67,0.28,0.17,0.12,710.00
Illinois,12858490.00,36.80,3091748.00,9766742.00,0.56,0.32,4759131.00,3.29,0.48,0.10,0.13,0.27,0.29,0.19,0.12,0.87,0.59,0.07,0.34,0.74,0.09,0.09,0.03,55231.00,77331.00,0.03,3882.00,0.12,68251.00,28716.00,0.67,0.30,0.13,0.11,877.00
Indiana,6514516.00,37.10,1598564.00,4915952.00,0.59,0.31,2474926.00,3.12,0.50,0.13,0.13,0.36,0.29,0.15,0.08,0.87,0.58,0.06,0.36,0.83,0.09,0.01,0.02,47185.00,62895.00,0.02,3409.00,0.12,58524.00,24048.00,0.68,0.29,0.14,0.11,717.00
Iowa,3062869.00,38.00,724528.00,2338341.00,0.63,0.29,1224399.00,2.98,0.53,0.11,0.09,0.33,0.32,0.18,0.08,0.91,0.64,0.04,0.32,0.80,0.09,0.01,0.04,50773.00,64122.00,0.03,3414.00,0.11,64188.00,26285.00,0.76,0.30,0.09,0.08,660.00
Kansas,2871709.00,36.10,724545.00,2147164.00,0.60,0.30,1106960.00,3.11,0.53,0.12,0.10,0.28,0.32,0.20,0.11,0.90,0.62,0.05,0.32,0.82,0.10,0.01,0.02,50346.00,66244.00,0.02,3408.00,0.10,63493.00,26207.00,0.73,0.26,0.13,0.09,718.00
Kentucky,4364627.00,38.20,1022733.00,3341894.00,0.60,0.29,1690132.00,3.07,0.50,0.13,0.17,0.34,0.28,0.13,0.09,0.83,0.53,0.06,0.40,0.83,0.10,0.01,0.02,41782.00,60029.00,0.03,3364.00,0.17,53044.00,22796.00,0.64,0.33,0.15,0.15,640.00
Louisiana,4573595.00,36.00,1116909.00,3456686.00,0.55,0.31,1706091.00,3.22,0.44,0.12,0.18,0.34,0.27,0.14,0.07,0.82,0.55,0.06,0.39,0.82,0.10,0.01,0.02,43484.00,63807.00,0.02,3050.00,0.16,54750.00,23792.00,0.59,0.34,0.17,0.15,760.00
Maine,1328440.00,43.20,269522.00,1058918.00,0.64,0.26,552963.00,2.86,0.51,0.14,0.09,0.34,0.29,0.18,0.10,0.91,0.59,0.05,0.36,0.79,0.10,0.01,0.04,47344.00,62967.00,0.05,3166.00,0.17,59976.00,26306.00,0.66,0.38,0.10,0.09,748.00
Maryland,5837378.00,38.00,1347276.00,4490102.00,0.55,0.31,2141086.00,3.24,0.47,0.10,0.11,0.26,0.26,0.20,0.17,0.89,0.63,0.06,0.31,0.73,0.10,0.09,0.02,71707.00,94265.00,0.03,4118.00,0.10,86383.00,35328.00,0.74,0.27,0.11,0.07,1177.00
Massachusetts,6605468.00,39.30,1411136.00,5194332.00,0.58,0.30,2524028.00,3.14,0.47,0.10,0.11,0.26,0.24,0.22,0.17,0.89,0.61,0.06,0.32,0.72,0.08,0.09,0.05,65029.00,93000.00,0.03,4979.00,0.12,82684.00,34860.00,0.75,0.33,0.04,0.08,1050.00
Michigan,9879277.00,39.20,2300451.00,7578826.00,0.58,0.31,3805261.00,3.14,0.49,0.12,0.11,0.31,0.33,0.16,0.10,0.89,0.54,0.08,0.38,0.83,0.09,0.01,0.02,47175.00,64881.00,0.04,3418.00,0.18,59251.00,24977.00,0.69,0.34,0.12,0.12,755.00
Minnesota,5345721.00,37.50,1277833.00,4067888.00,0.61,0.29,2102761.00,3.05,0.52,0.10,0.08,0.27,0.33,0.22,0.11,0.92,0.65,0.05,0.30,0.78,0.09,0.03,0.03,58434.00,77057.00,0.04,3482.00,0.09,73185.00,30237.00,0.76,0.27,0.09,0.08,804.00
Mississippi,2977179.00,36.10,749819.00,2227360.00,0.55,0.32,1085563.00,3.24,0.45,0.12,0.19,0.31,0.31,0.13,0.07,0.82,0.51,0.07,0.42,0.84,0.11,0.00,0.02,37792.00,55710.00,0.03,2748.00,0.18,46854.00,20146.00,0.56,0.37,0.18,0.18,692.00
Missouri,6009025.00,38.00,1413043.00,4595982.00,0.60,0.29,2354106.00,3.06,0.50,0.12,0.13,0.32,0.30,0.16,0.10,0.88,0.58,0.06,0.36,0.82,0.10,0.01,0.02,46068.00,63739.00,0.03,3129.00,0.14,58060.00,25073.00,0.69,0.30,0.13,0.11,714.00
Montana,997852.00,39.90,222658.00,775194.00,0.63,0.27,404990.00,2.98,0.52,0.13,0.08,0.30,0.33,0.20,0.09,0.92,0.59,0.05,0.35,0.75,0.10,0.01,0.05,45072.00,56634.00,0.03,3311.00,0.11,58087.00,24772.00,0.65,0.30,0.18,0.10,672.00
Nebraska,1842480.00,36.30,460886.00,1381594.00,0.61,0.30,726422.00,3.05,0.53,0.11,0.09,0.28,0.34,0.19,0.09,0.91,0.66,0.04,0.29,0.81,0.10,0.01,0.03,50957.00,64991.00,0.02,2835.00,0.09,64122.00,26393.00,0.74,0.27,0.12,0.09,694.00
Nevada,2727571.00,36.60,662862.00,2064709.00,0.54,0.30,992757.00,3.33,0.47,0.14,0.16,0.29,0.33,0.15,0.08,0.85,0.57,0.09,0.34,0.78,0.11,0.03,0.02,50949.00,66629.00,0.03,3965.00,0.11,59323.00,25815.00,0.63,0.25,0.22,0.12,966.00
New Hampshire,1318455.00,41.50,280397.00,1038058.00,0.62,0.28,518009.00,2.97,0.53,0.12,0.08,0.30,0.28,0.21,0.13,0.92,0.64,0.05,0.31,0.81,0.08,0.01,0.03,63962.00,82352.00,0.03,3842.00,0.08,78492.00,32443.00,0.76,0.25,0.11,0.06,969.00
New Jersey,8834249.00,39.10,2044541.00,6789708.00,0.56,0.32,3181881.00,3.30,0.49,0.09,0.12,0.29,0.23,0.22,0.14,0.88,0.59,0.07,0.34,0.72,0.09,0.11,0.03,70062.00,98725.00,0.03,4504.00,0.08,85374.00,35087.00,0.71,0.26,0.13,0.08,1156.00
New Mexico,2076325.00,36.80,515961.00,1560364.00,0.55,0.32,765306.00,3.31,0.46,0.13,0.16,0.27,0.32,0.15,0.11,0.84,0.54,0.06,0.39,0.79,0.11,0.01,0.02,43518.00,59732.00,0.03,3302.00,0.15,52776.00,23193.00,0.55,0.37,0.19,0.16,744.00
New York,19490373.00,38.00,4289357.00,15201016.00,0.55,0.31,7210095.00,3.29,0.45,0.09,0.15,0.27,0.25,0.19,0.14,0.85,0.57,0.06,0.37,0.54,0.07,0.27,0.06,56657.00,86232.00,0.03,4180.00,0.15,68750.00,31444.00,0.66,0.34,0.11,0.12,1076.00
North Carolina,9654079.00,37.60,2282198.00,7371881.00,0.58,0.30,3699308.00,3.11,0.49,0.11,0.15,0.27,0.31,0.18,0.09,0.85,0.55,0.07,0.37,0.81,0.10,0.01,0.02,45215.00,62885.00,0.02,3637.00,0.14,55411.00,24609.00,0.64,0.31,0.17,0.13,761.00
North Dakota,686244.00,36.60,152027.00,534217.00,0.64,0.27,285639.00,2.93,0.52,0.10,0.09,0.27,0.36,0.20,0.08,0.91,0.67,0.02,0.30,0.80,0.09,0.01,0.04,52427.00,67548.00,0.02,3238.00,0.08,69077.00,28977.00,0.79,0.24,0.10,0.08,632.00
Ohio,11541175.00,39.00,2691948.00,8849227.00,0.60,0.30,4542141.00,3.08,0.49,0.12,0.12,0.35,0.29,0.16,0.09,0.89,0.57,0.07,0.36,0.83,0.08,0.02,0.02,47030.00,64987.00,0.03,3422.00,0.15,60022.00,25395.00,0.69,0.31,0.12,0.12,708.00
Oklahoma,3786152.00,36.30,932948.00,2853204.00,0.59,0.30,1441163.00,3.13,0.51,0.13,0.14,0.32,0.31,0.16,0.08,0.86,0.57,0.05,0.38,0.82,0.11,0.01,0.02,44239.00,60777.00,0.03,2139.00,0.14,54865.00,23614.00,0.62,0.32,0.19,0.13,690.00
Oregon,3868598.00,38.70,862608.00,3005990.00,0.59,0.28,1513005.00,3.05,0.50,0.13,0.11,0.25,0.35,0.19,0.11,0.89,0.55,0.08,0.37,0.72,0.10,0.04,0.04,48525.00,64356.00,0.04,3995.00,0.19,59516.00,25940.00,0.66,0.31,0.16,0.12,855.00
Pennsylvania,12739595.00,40.30,2762188.00,9977407.00,0.60,0.30,4949494.00,3.10,0.48,0.09,0.11,0.37,0.24,0.17,0.11,0.89,0.57,0.06,0.37,0.77,0.09,0.05,0.04,51402.00,72458.00,0.04,3010.00,0.12,65050.00,27741.00,0.72,0.32,0.10,0.10,800.00
Rhode Island,1051236.00,39.70,219967.00,831269.00,0.58,0.29,409308.00,3.10,0.44,0.12,0.15,0.27,0.27,0.19,0.12,0.85,0.59,0.07,0.34,0.80,0.09,0.03,0.04,54900.00,76220.00,0.03,3917.00,0.15,71316.00,29490.00,0.71,0.31,0.12,0.10,891.00
South Carolina,4677636.00,38.10,1078713.00,3598923.00,0.58,0.30,1774128.00,3.12,0.48,0.10,0.16,0.30,0.29,0.16,0.09,0.84,0.53,0.07,0.39,0.83,0.09,0.01,0.02,43490.00,59515.00,0.02,3268.00,0.15,53399.00,23302.00,0.62,0.33,0.17,0.14,758.00
South Dakota,824391.00,37.00,203161.00,621230.00,0.61,0.29,322005.00,3.05,0.52,0.11,0.10,0.32,0.32,0.18,0.08,0.90,0.65,0.04,0.31,0.78,0.10,0.01,0.04,48900.00,62018.00,0.03,3004.00,0.11,62905.00,25226.00,0.73,0.29,0.12,0.09,629.00
Tennessee,6404240.00,38.20,1493990.00,4910250.00,0.59,0.30,2466659.00,3.11,0.50,0.13,0.16,0.33,0.27,0.15,0.09,0.84,0.55,0.06,0.39,0.84,0.10,0.01,0.01,42959.00,61786.00,0.03,2923.00,0.18,53611.00,23771.00,0.64,0.33,0.14,0.14,731.00
Texas,25644550.00,33.80,6928341.00,18716209.00,0.53,0.33,8852441.00,3.43,0.50,0.11,0.19,0.25,0.29,0.18,0.09,0.81,0.59,0.05,0.35,0.80,0.11,0.02,0.02,50776.00,71142.00,0.02,3506.00,0.14,59594.00,25268.00,0.58,0.28,0.23,0.14,834.00
Utah,2814910.00,29.60,880459.00,1934451.00,0.52,0.37,886032.00,3.62,0.56,0.09,0.09,0.24,0.37,0.20,0.10,0.91,0.63,0.05,0.32,0.77,0.12,0.02,0.03,57255.00,70427.00,0.02,4013.00,0.10,64662.00,23255.00,0.73,0.21,0.15,0.10,841.00
Vermont,626172.00,42.00,126288.00,499884.00,0.64,0.25,257887.00,2.85,0.51,0.12,0.09,0.31,0.26,0.21,0.14,0.92,0.63,0.05,0.32,0.74,0.10,0.01,0.06,53037.00,66785.00,0.05,3658.00,0.14,66594.00,28576.00,0.68,0.38,0.07,0.08,859.00
Virginia,8105120.00,37.50,1854738.00,6250382.00,0.58,0.30,3007690.00,3.17,0.50,0.10,0.13,0.25,0.27,0.20,0.15,0.87,0.60,0.05,0.34,0.77,0.10,0.04,0.02,62811.00,85910.00,0.02,3092.00,0.09,75545.00,32779.00,0.74,0.24,0.13,0.08,1075.00
Washington,6821303.00,37.30,1582754.00,5238549.00,0.59,0.29,2624689.00,3.12,0.51,0.12,0.10,0.24,0.35,0.20,0.11,0.90,0.58,0.06,0.35,0.73,0.10,0.06,0.04,57966.00,76443.00,0.04,3747.00,0.14,70254.00,29869.00,0.69,0.29,0.14,0.09,953.00
West Virginia,1854775.00,41.40,385451.00,1469324.00,0.61,0.28,741661.00,3.02,0.50,0.13,0.16,0.41,0.25,0.11,0.07,0.84,0.50,0.05,0.46,0.82,0.10,0.01,0.03,40151.00,57905.00,0.02,2978.00,0.16,51434.00,22422.00,0.63,0.37,0.15,0.13,606.00
Wisconsin,5708612.00,38.70,1327120.00,4381492.00,0.61,0.29,2282454.00,3.01,0.51,0.11,0.10,0.33,0.31,0.18,0.09,0.90,0.62,0.06,0.32,0.80,0.09,0.02,0.03,51340.00,66605.00,0.02,3570.00,0.12,65167.00,26894.00,0.72,0.31,0.09,0.09,747.00
Wyoming,569380.00,36.80,135234.00,434146.00,0.61,0.28,222558.00,3.04,0.54,0.13,0.08,0.30,0.37,0.16,0.08,0.92,0.64,0.04,0.31,0.76,0.11,0.02,0.04,55979.00,68033.00,0.02,3347.00,0.06,69087.00,28479.00,0.70,0.26,0.15,0.08,741.00
