hospitalID,nursesCommunicateWell,doctorsCommunicateWell,receivedImmediateHelp,painManagedByTreatment,staffExplainedMedications,bathroomsAlwaysClean,givenInformationAboutRecovery,rateHospitalPositively
10092,0.81,0.82,0.67,0.73,0.66,0.68,0.84,0.72
10095,0.85,0.93,0.68,0.69,0.63,0.84,0.84,0.66
10097,0.86,0.91,0.84,0.74,0.66,0.69,0.77,0.72
10099,0.79,0.85,0.69,0.70,0.70,0.68,0.80,0.71
10100,0.82,0.83,0.70,0.73,0.66,0.67,0.88,0.77
10101,0.73,0.84,0.62,0.67,0.59,0.65,0.81,0.60
10102,0.82,0.87,0.78,0.68,0.69,0.72,0.89,0.71
10103,0.80,0.85,0.62,0.69,0.63,0.64,0.84,0.74
10104,0.83,0.85,0.68,0.76,0.68,0.74,0.87,0.80
10108,0.79,0.83,0.69,0.73,0.66,0.72,0.88,0.73
10109,0.83,0.94,0.76,0.69,0.74,0.78,0.86,0.68
10110,0.81,0.94,0.78,0.77,0.72,0.85,0.78,0.71
10112,0.78,0.87,0.69,0.72,0.63,0.72,0.74,0.66
10113,0.81,0.84,0.65,0.73,0.70,0.62,0.85,0.76
10114,0.73,0.83,0.57,0.69,0.58,0.61,0.80,0.64
10118,0.71,0.83,0.57,0.62,0.58,0.70,0.76,0.60
10120,0.84,0.91,0.77,0.82,0.77,0.77,0.86,0.72
10125,0.80,0.81,0.61,0.70,0.65,0.74,0.83,0.65
10126,0.79,0.86,0.73,0.71,0.62,0.70,0.82,0.65
10128,0.84,0.90,0.81,0.72,0.79,0.82,0.88,0.73
10129,0.81,0.89,0.74,0.73,0.68,0.71,0.83,0.74
10130,0.85,0.91,0.74,0.80,0.74,0.75,0.86,0.82
10131,0.80,0.83,0.66,0.72,0.66,0.71,0.88,0.77
10138,0.86,0.95,0.86,0.74,0.71,0.81,0.78,0.70
10139,0.79,0.86,0.65,0.73,0.66,0.68,0.85,0.72
10144,0.79,0.85,0.65,0.72,0.59,0.64,0.86,0.71
10146,0.81,0.86,0.69,0.70,0.62,0.72,0.88,0.75
10148,0.82,0.90,0.69,0.74,0.54,0.75,0.86,0.73
10149,0.81,0.84,0.68,0.77,0.62,0.68,0.87,0.77
10150,0.81,0.88,0.70,0.73,0.70,0.72,0.86,0.70
10157,0.79,0.82,0.63,0.68,0.59,0.72,0.81,0.69
10158,0.77,0.88,0.64,0.72,0.66,0.66,0.84,0.65
10164,0.79,0.86,0.63,0.76,0.70,0.68,0.85,0.70
10168,0.82,0.87,0.70,0.74,0.72,0.71,0.90,0.83
10169,0.80,0.88,0.68,0.73,0.69,0.69,0.83,0.69
11300,0.88,0.94,0.90,0.86,0.78,0.75,0.80,0.85
11302,,,,,,,,
11304,,,,,,,,
13301,,,,,,,,
20001,0.76,0.80,0.64,0.68,0.62,0.68,0.88,0.72
20006,0.77,0.78,0.64,0.69,0.64,0.76,0.88,0.69
20008,0.79,0.83,0.71,0.70,0.69,0.75,0.88,0.66
20012,0.82,0.81,0.76,0.72,0.71,0.75,0.91,0.73
20017,0.73,0.77,0.62,0.68,0.61,0.65,0.86,0.65
20018,0.70,0.76,0.64,0.62,0.67,0.64,0.78,0.50
20024,0.79,0.82,0.66,0.67,0.71,0.77,0.87,0.70
20026,0.71,0.75,0.64,0.64,0.64,0.59,0.85,0.64
20027,0.76,0.79,0.78,0.73,0.73,0.75,0.78,0.73
21301,,,,,,,,
21302,,,,,,,,
21303,,,,,,,,
21304,0.83,0.92,0.96,,0.80,0.91,0.92,0.53
21305,,,,,,,,
21306,0.83,0.86,0.77,0.68,0.65,0.81,0.90,0.74
21307,,,,,,,,
21308,,,,,,,,
21309,,,,,,,,
21311,0.79,0.87,0.75,0.73,0.68,0.75,0.89,0.67
21312,,,,,,,,
21313,0.82,0.87,0.73,0.73,0.66,0.81,0.91,0.78
30001,0.73,0.77,0.59,0.68,0.60,0.67,0.84,0.66
30002,0.80,0.81,0.71,0.72,0.66,0.64,0.88,0.75
30006,0.76,0.79,0.62,0.68,0.62,0.62,0.86,0.69
30007,0.80,0.79,0.69,0.70,0.60,0.74,0.90,0.76
30010,0.74,0.77,0.60,0.69,0.61,0.62,0.87,0.64
30011,0.70,0.79,0.53,0.59,0.59,0.59,0.84,0.64
30012,0.72,0.72,0.61,0.62,0.53,0.62,0.87,0.64
30013,0.76,0.76,0.64,0.69,0.64,0.66,0.83,0.67
30014,0.73,0.73,0.58,0.69,0.61,0.69,0.83,0.68
30016,0.72,0.77,0.56,0.70,0.58,0.61,0.85,0.61
30022,0.72,0.74,0.62,0.69,0.60,0.67,0.82,0.62
30023,0.78,0.84,0.74,0.71,0.63,0.72,0.86,0.78
30024,0.77,0.77,0.61,0.70,0.61,0.72,0.84,0.74
30030,0.72,0.76,0.61,0.68,0.59,0.69,0.83,0.69
30033,0.78,0.76,0.74,0.74,0.65,0.71,0.88,0.70
30036,0.76,0.74,0.64,0.69,0.60,0.67,0.87,0.68
30037,0.76,0.80,0.62,0.71,0.63,0.69,0.85,0.66
30038,0.75,0.70,0.64,0.68,0.55,0.68,0.80,0.70
30043,0.78,0.78,0.62,0.70,0.69,0.68,0.85,0.64
30055,0.76,0.71,0.61,0.67,0.60,0.69,0.84,0.64
30061,0.81,0.77,0.71,0.72,0.66,0.66,0.89,0.72
30062,0.78,0.78,0.65,0.68,0.61,0.74,0.88,0.73
30064,0.76,0.74,0.58,0.67,0.62,0.65,0.83,0.69
30065,0.75,0.78,0.62,0.68,0.63,0.62,0.88,0.69
30067,0.79,0.77,0.72,0.73,0.58,0.67,0.81,0.62
30068,0.77,0.82,0.68,0.73,0.64,0.63,0.89,0.72
30069,0.71,0.73,0.53,0.65,0.56,0.63,0.83,0.58
30071,0.72,0.72,0.60,0.65,0.58,0.69,0.75,0.61
30073,0.67,0.74,0.55,0.63,0.60,0.58,0.81,0.53
30074,,,,,,,,
30077,0.74,0.72,0.65,0.47,0.50,0.85,0.97,0.49
30078,0.73,0.81,0.65,0.73,0.69,0.64,0.82,0.61
30083,0.75,0.75,0.64,0.71,0.55,0.67,0.84,0.69
30084,0.62,0.65,0.52,0.60,0.63,0.58,0.76,0.49
30085,0.75,0.78,0.64,0.69,0.61,0.65,0.87,0.70
30087,0.76,0.75,0.62,0.73,0.61,0.68,0.82,0.69
30088,0.78,0.78,0.62,0.69,0.63,0.66,0.89,0.70
30089,0.78,0.78,0.61,0.70,0.64,0.64,0.88,0.73
30092,0.74,0.73,0.61,0.67,0.59,0.67,0.84,0.70
30093,0.78,0.77,0.63,0.70,0.62,0.68,0.87,0.69
30094,0.74,0.77,0.65,0.68,0.57,0.64,0.86,0.67
30101,0.76,0.73,0.64,0.68,0.61,0.67,0.83,0.66
30103,0.85,0.86,0.78,0.77,0.69,0.77,0.90,0.91
30105,0.80,0.74,0.72,0.75,0.66,0.70,0.87,0.77
30107,0.83,0.82,0.78,0.70,0.73,0.79,0.91,0.83
30108,0.85,0.80,0.81,0.71,0.67,0.83,0.88,0.79
30110,0.74,0.75,0.61,0.69,0.57,0.61,0.84,0.64
30111,0.70,0.74,0.52,0.66,0.60,0.65,0.76,0.57
30112,0.86,0.85,0.80,0.74,0.66,0.82,0.93,0.83
30113,,,,,,,,
30114,0.76,0.78,0.60,0.66,0.60,0.68,0.88,0.72
30115,0.79,0.81,0.65,0.72,0.66,0.69,0.88,0.76
30117,0.75,0.68,0.59,0.67,0.59,0.77,0.83,0.68
30118,0.76,0.76,0.63,0.66,0.56,0.75,0.88,0.71
30119,0.76,0.75,0.63,0.69,0.62,0.72,0.86,0.78
30120,0.77,0.69,0.69,0.67,0.65,0.80,0.87,0.72
30121,0.72,0.73,0.60,0.68,0.59,0.63,0.83,0.64
30122,0.78,0.80,0.61,0.71,0.64,0.58,0.89,0.77
30123,0.79,0.76,0.66,0.74,0.61,0.72,0.81,0.78
30130,0.79,0.83,0.71,0.74,0.70,0.72,0.90,0.81
30131,0.82,0.83,0.74,0.69,0.70,0.79,0.90,0.81
30132,,,,,,,,
30134,,,,,,,,
31300,0.89,0.83,0.73,0.84,0.68,0.80,0.84,0.70
31301,,,,,,,,
31302,0.80,0.79,0.74,0.66,0.63,0.68,0.75,0.65
31303,,,,,,,,
31304,0.81,0.84,0.76,0.76,0.70,0.74,0.91,0.73
31305,,,,,,,,
31309,,,,,,,,
31311,,,,,,,,
31312,0.85,0.83,0.68,0.59,0.71,0.80,0.80,0.62
31313,0.74,0.81,0.67,0.70,0.68,0.86,0.80,0.61
31314,0.78,0.79,0.65,0.71,0.59,0.74,0.87,0.70
31315,0.77,0.88,0.76,0.66,0.72,0.83,0.87,0.75
33302,,,,,,,,
40001,0.77,0.83,0.66,0.70,0.63,0.74,0.87,0.68
40002,0.72,0.81,0.68,0.66,0.60,0.79,0.79,0.59
40004,0.80,0.81,0.68,0.70,0.65,0.75,0.86,0.73
40007,0.76,0.84,0.61,0.69,0.62,0.65,0.84,0.71
40010,0.78,0.82,0.61,0.71,0.59,0.71,0.88,0.77
40011,0.85,0.90,0.74,0.75,0.70,0.86,0.79,0.77
40014,0.78,0.83,0.65,0.71,0.66,0.69,0.81,0.72
40015,0.76,0.81,0.68,0.67,0.54,0.71,0.83,0.65
40016,0.75,0.78,0.61,0.69,0.61,0.68,0.81,0.73
40017,0.76,0.82,0.66,0.67,0.59,0.79,0.80,0.64
40018,0.80,0.80,0.72,0.72,0.69,0.73,0.81,0.61
40019,0.77,0.84,0.65,0.71,0.60,0.67,0.83,0.67
40020,0.81,0.83,0.65,0.72,0.66,0.73,0.82,0.74
40022,0.74,0.77,0.58,0.67,0.59,0.70,0.86,0.68
40026,0.77,0.80,0.61,0.69,0.60,0.69,0.82,0.72
40027,0.78,0.78,0.70,0.70,0.60,0.68,0.85,0.76
40029,0.81,0.83,0.65,0.70,0.67,0.76,0.82,0.72
40036,0.79,0.82,0.67,0.71,0.64,0.76,0.82,0.75
40039,0.81,0.86,0.71,0.72,0.64,0.77,0.80,0.70
40041,0.74,0.80,0.62,0.68,0.55,0.69,0.81,0.62
40042,0.77,0.83,0.65,0.68,0.64,0.67,0.82,0.63
40047,0.79,0.86,0.74,0.76,0.57,0.76,0.84,0.67
40050,0.84,0.85,0.77,0.74,0.62,0.79,0.78,0.68
40051,0.75,0.90,0.61,0.68,0.56,0.63,0.78,0.64
40055,0.67,0.77,0.49,0.62,0.52,0.61,0.82,0.57
40062,0.77,0.82,0.62,0.69,0.63,0.66,0.85,0.71
40067,0.82,0.88,0.71,0.73,0.64,0.75,0.86,0.72
40069,0.75,0.78,0.63,0.69,0.61,0.57,0.79,0.53
40071,0.76,0.83,0.67,0.70,0.60,0.63,0.85,0.64
40072,0.81,0.90,0.74,0.73,0.71,0.67,0.84,0.66
40074,0.72,0.76,0.64,0.67,0.57,0.66,0.78,0.59
40076,0.75,0.87,0.59,0.60,0.58,0.72,0.75,0.63
40078,0.75,0.82,0.61,0.69,0.58,0.71,0.85,0.73
40080,0.75,0.79,0.64,0.68,0.67,0.61,0.85,0.60
40084,0.83,0.82,0.69,0.75,0.63,0.70,0.83,0.77
40085,0.76,0.83,0.61,0.70,0.64,0.70,0.78,0.66
40088,0.75,0.81,0.69,0.69,0.63,0.65,0.80,0.65
40114,0.79,0.82,0.64,0.72,0.62,0.73,0.81,0.74
40118,0.84,0.85,0.72,0.75,0.70,0.72,0.85,0.79
40119,0.81,0.83,0.69,0.72,0.64,0.70,0.85,0.74
40132,,,,,,,,
40134,0.86,0.84,0.85,0.76,0.66,0.85,0.85,0.90
40137,0.79,0.82,0.66,0.73,0.62,0.72,0.83,0.68
40147,0.88,0.88,0.79,0.79,0.75,0.82,0.88,0.89
40152,0.88,0.89,0.85,0.82,0.74,0.82,0.90,0.85
40153,,,,,,,,
41300,,,,,,,,
41302,,,,,,,,
41303,,,,,,,,
41304,,,,,,,,
41305,,,,,,,,
41306,,,,,,,,
41307,,,,,,,,
41308,,,,,,,,
41309,,,,,,,,
41310,,,,,,,,
41311,0.77,0.82,0.79,0.73,0.67,0.77,0.78,0.74
41312,0.88,0.86,0.83,0.78,0.68,0.83,0.88,0.80
41313,,,,,,,,
41314,,,,,,,,
41316,,,,,,,,
41317,,,,,,,,
41318,,,,,,,,
41319,,,,,,,,
41320,,,,,,,,
41321,0.78,0.87,0.68,0.65,0.67,0.75,0.79,0.69
41322,,,,,,,,
41323,0.76,0.80,0.74,0.66,0.55,0.76,0.77,0.62
41324,0.79,0.83,0.79,0.66,0.56,0.81,0.86,0.74
41326,,,,,,,,
41327,,,,,,,,
41328,,,,,,,,
41329,0.79,0.88,0.70,0.82,0.59,0.65,0.89,0.70
41330,,,,,,,,
41331,,,,,,,,
43300,,,,,,,,
50002,0.72,0.79,0.53,0.67,0.57,0.68,0.84,0.65
50006,0.67,0.70,0.50,0.64,0.55,0.68,0.82,0.56
50007,0.78,0.81,0.59,0.75,0.63,0.75,0.84,0.81
50008,0.72,0.81,0.49,0.67,0.63,0.69,0.79,0.65
50009,0.75,0.80,0.59,0.69,0.62,0.67,0.84,0.73
50013,0.83,0.80,0.71,0.74,0.71,0.81,0.88,0.78
50014,0.79,0.79,0.67,0.69,0.60,0.83,0.85,0.67
50016,0.77,0.80,0.65,0.70,0.67,0.69,0.85,0.72
50017,0.76,0.79,0.63,0.69,0.63,0.68,0.85,0.69
50018,0.65,0.68,0.55,0.60,0.53,0.63,0.79,0.55
50022,0.72,0.75,0.51,0.68,0.55,0.63,0.83,0.60
50024,0.73,0.75,0.59,0.63,0.60,0.69,0.83,0.60
50025,0.77,0.80,0.64,0.71,0.62,0.71,0.85,0.72
50026,0.78,0.78,0.61,0.70,0.63,0.70,0.85,0.72
50028,0.77,0.74,0.69,0.71,0.66,0.74,0.86,0.65
50030,0.71,0.67,0.57,0.69,0.55,0.66,0.77,0.51
50036,0.71,0.73,0.56,0.68,0.59,0.73,0.84,0.67
50038,0.71,0.78,0.51,0.66,0.60,0.61,0.78,0.61
50039,0.80,0.79,0.66,0.72,0.67,0.75,0.88,0.75
50040,0.68,0.79,0.54,0.66,0.59,0.64,0.80,0.65
50042,0.76,0.80,0.66,0.69,0.66,0.73,0.83,0.66
50043,0.70,0.76,0.49,0.65,0.55,0.51,0.79,0.56
50045,0.69,0.71,0.57,0.66,0.61,0.72,0.84,0.59
50046,0.84,0.84,0.74,0.71,0.61,0.75,0.86,0.73
50047,0.74,0.76,0.62,0.69,0.59,0.69,0.81,0.67
50054,0.74,0.76,0.61,0.68,0.56,0.68,0.82,0.56
50055,0.69,0.77,0.60,0.70,0.58,0.70,0.81,0.59
50056,0.74,0.76,0.60,0.69,0.57,0.66,0.81,0.64
50057,0.77,0.73,0.60,0.66,0.57,0.69,0.82,0.64
50058,0.71,0.78,0.58,0.68,0.59,0.65,0.82,0.62
50060,0.70,0.75,0.54,0.68,0.61,0.66,0.86,0.66
50063,0.65,0.71,0.56,0.61,0.53,0.61,0.81,0.59
50067,0.76,0.77,0.57,0.63,0.56,0.76,0.81,0.65
50069,0.75,0.78,0.60,0.71,0.61,0.71,0.85,0.79
50070,0.79,0.82,0.67,0.73,0.64,0.72,0.86,0.72
50071,0.78,0.82,0.66,0.73,0.65,0.73,0.87,0.78
50072,0.70,0.79,0.59,0.68,0.58,0.67,0.85,0.65
50073,0.75,0.81,0.64,0.69,0.63,0.68,0.85,0.71
50075,0.68,0.78,0.58,0.66,0.57,0.62,0.84,0.59
50076,0.78,0.81,0.68,0.74,0.64,0.68,0.85,0.74
50077,0.74,0.78,0.58,0.69,0.63,0.66,0.82,0.65
50078,0.77,0.79,0.65,0.73,0.65,0.78,0.80,0.72
50079,0.66,0.74,0.48,0.61,0.55,0.61,0.73,0.47
50082,0.72,0.75,0.52,0.66,0.60,0.70,0.83,0.70
50084,0.72,0.76,0.59,0.68,0.59,0.65,0.81,0.66
50089,0.70,0.67,0.53,0.66,0.68,0.66,0.80,0.63
50090,0.76,0.78,0.67,0.75,0.64,0.67,0.87,0.63
50091,0.73,0.76,0.63,0.67,0.60,0.69,0.76,0.63
50093,0.74,0.79,0.59,0.70,0.56,0.67,0.85,0.69
50096,0.92,1.00,0.93,0.97,0.79,0.88,1.00,0.89
50099,0.76,0.79,0.58,0.71,0.61,0.65,0.85,0.69
50100,0.82,0.82,0.70,0.76,0.67,0.75,0.86,0.84
50101,0.76,0.79,0.58,0.65,0.60,0.70,0.83,0.62
50102,0.67,0.72,0.55,0.64,0.52,0.63,0.82,0.51
50103,0.78,0.80,0.63,0.71,0.59,0.70,0.84,0.78
50104,0.68,0.70,0.54,0.62,0.54,0.63,0.79,0.66
50107,0.75,0.76,0.59,0.66,0.68,0.80,0.86,0.75
50108,0.78,0.81,0.59,0.69,0.63,0.70,0.86,0.69
50110,0.72,0.78,0.62,0.66,0.59,0.75,0.84,0.67
50111,0.72,0.80,0.65,0.61,0.68,0.70,0.80,0.64
50112,0.71,0.77,0.57,0.66,0.62,0.72,0.80,0.74
50113,0.71,0.76,0.53,0.67,0.62,0.67,0.77,0.63
50115,0.75,0.77,0.63,0.68,0.61,0.76,0.81,0.71
50116,0.69,0.75,0.49,0.65,0.59,0.68,0.82,0.63
50118,0.76,0.84,0.63,0.71,0.64,0.66,0.85,0.68
50121,0.70,0.75,0.57,0.66,0.58,0.72,0.84,0.64
50122,0.74,0.77,0.62,0.68,0.62,0.72,0.84,0.65
50124,0.78,0.80,0.68,0.71,0.63,0.77,0.80,0.70
50125,0.67,0.74,0.54,0.64,0.56,0.65,0.80,0.59
50126,0.69,0.72,0.49,0.66,0.51,0.62,0.79,0.59
50127,0.78,0.82,0.66,0.75,0.71,0.76,0.86,0.71
50128,0.73,0.77,0.58,0.64,0.58,0.68,0.85,0.59
50129,0.74,0.76,0.59,0.69,0.60,0.64,0.81,0.69
50131,0.81,0.83,0.70,0.74,0.63,0.73,0.86,0.80
50132,0.65,0.70,0.52,0.60,0.55,0.63,0.78,0.54
50133,0.66,0.74,0.49,0.62,0.54,0.60,0.74,0.45
50135,0.59,0.65,0.45,0.53,0.47,0.60,0.72,0.49
50136,0.77,0.77,0.68,0.70,0.63,0.82,0.85,0.66
50137,0.74,0.80,0.63,0.70,0.62,0.79,0.85,0.77
50138,0.76,0.80,0.69,0.72,0.61,0.72,0.85,0.77
50139,0.77,0.81,0.65,0.71,0.63,0.76,0.85,0.78
50140,0.76,0.82,0.65,0.71,0.64,0.71,0.87,0.76
50145,0.77,0.81,0.68,0.74,0.65,0.82,0.86,0.82
50146,0.82,0.87,0.64,0.75,0.67,0.74,0.91,0.85
50149,0.66,0.73,0.51,0.61,0.55,0.61,0.76,0.61
50150,0.74,0.73,0.63,0.72,0.62,0.68,0.87,0.61
50152,0.66,0.73,0.54,0.60,0.58,0.64,0.83,0.65
50153,0.73,0.78,0.58,0.66,0.57,0.67,0.82,0.66
50158,0.58,0.70,0.57,0.55,0.43,0.63,0.78,0.56
50159,0.69,0.79,0.52,0.63,0.57,0.67,0.76,0.64
50167,0.66,0.74,0.45,0.67,0.58,0.71,0.80,0.62
50168,0.73,0.76,0.60,0.68,0.57,0.73,0.86,0.76
50169,0.78,0.78,0.61,0.72,0.61,0.73,0.83,0.81
50174,0.72,0.74,0.61,0.68,0.57,0.69,0.83,0.63
50179,0.70,0.70,0.53,0.64,0.59,0.67,0.79,0.57
50180,0.77,0.79,0.58,0.72,0.61,0.75,0.83,0.80
50189,0.78,0.78,0.66,0.70,0.66,0.78,0.88,0.70
50191,0.74,0.75,0.58,0.65,0.60,0.74,0.83,0.70
50192,0.70,0.75,0.58,0.67,0.63,0.62,0.77,0.56
50194,0.75,0.78,0.61,0.71,0.61,0.64,0.83,0.72
50195,0.74,0.78,0.59,0.68,0.59,0.69,0.87,0.65
50196,0.68,0.75,0.55,0.61,0.55,0.68,0.75,0.56
50197,0.70,0.82,0.51,0.66,0.57,0.69,0.83,0.66
50204,0.78,0.77,0.65,0.74,0.66,0.77,0.84,0.75
50205,0.64,0.69,0.57,0.65,0.50,0.68,0.73,0.45
50211,0.66,0.72,0.50,0.63,0.53,0.62,0.77,0.51
50222,0.80,0.78,0.68,0.74,0.64,0.76,0.86,0.73
50224,0.78,0.81,0.60,0.72,0.62,0.73,0.84,0.81
50225,0.76,0.76,0.60,0.67,0.60,0.73,0.85,0.71
50226,0.71,0.72,0.63,0.67,0.59,0.66,0.80,0.63
50228,0.62,0.63,0.49,0.57,0.48,0.56,0.84,0.55
50230,0.66,0.73,0.56,0.63,0.51,0.68,0.82,0.62
50231,0.71,0.71,0.55,0.60,0.57,0.72,0.78,0.64
50232,0.80,0.81,0.69,0.74,0.66,0.67,0.86,0.75
50234,0.86,0.84,0.79,0.77,0.72,0.83,0.92,0.83
50235,0.77,0.79,0.65,0.72,0.61,0.73,0.83,0.76
50236,0.72,0.76,0.62,0.64,0.62,0.75,0.85,0.67
50238,0.73,0.81,0.54,0.65,0.60,0.73,0.77,0.73
50239,0.74,0.76,0.60,0.69,0.67,0.68,0.86,0.66
50242,0.72,0.76,0.55,0.66,0.58,0.63,0.85,0.61
50243,0.76,0.77,0.66,0.68,0.65,0.67,0.81,0.74
50245,0.73,0.76,0.56,0.69,0.60,0.67,0.78,0.67
50248,0.73,0.79,0.59,0.66,0.63,0.66,0.84,0.70
50254,0.80,0.76,0.67,0.72,0.63,0.76,0.86,0.75
50257,0.67,0.82,0.61,0.64,0.66,0.69,0.80,0.61
50261,0.77,0.82,0.63,0.70,0.68,0.70,0.83,0.60
50262,0.75,0.80,0.64,0.68,0.66,0.76,0.85,0.82
50272,0.78,0.80,0.64,0.70,0.63,0.76,0.87,0.79
50276,0.70,0.76,0.55,0.64,0.63,0.63,0.86,0.64
50277,0.74,0.78,0.69,0.70,0.60,0.79,0.85,0.65
50278,0.77,0.78,0.67,0.73,0.58,0.71,0.83,0.75
50279,0.74,0.71,0.62,0.67,0.58,0.69,0.85,0.69
50280,0.74,0.77,0.58,0.65,0.61,0.69,0.85,0.65
50281,0.64,0.66,0.57,0.59,0.51,0.70,0.84,0.58
50283,0.81,0.82,0.70,0.74,0.64,0.69,0.87,0.76
50289,0.76,0.79,0.63,0.67,0.59,0.74,0.83,0.67
50290,0.68,0.77,0.51,0.65,0.54,0.68,0.83,0.70
50291,0.80,0.80,0.63,0.73,0.65,0.68,0.85,0.66
50292,0.68,0.79,0.50,0.65,0.56,0.56,0.82,0.62
50295,0.69,0.71,0.54,0.65,0.56,0.63,0.80,0.61
50296,0.77,0.78,0.64,0.70,0.60,0.71,0.83,0.65
50298,0.76,0.78,0.64,0.70,0.64,0.74,0.86,0.68
50300,0.68,0.70,0.50,0.64,0.54,0.61,0.80,0.62
50301,0.79,0.81,0.64,0.71,0.64,0.69,0.89,0.66
50305,0.67,0.73,0.48,0.64,0.55,0.54,0.82,0.60
50308,0.75,0.78,0.61,0.70,0.59,0.69,0.84,0.74
50309,0.77,0.78,0.69,0.70,0.63,0.71,0.84,0.74
50313,0.81,0.80,0.65,0.73,0.64,0.76,0.84,0.77
50315,0.66,0.68,0.48,0.62,0.54,0.57,0.81,0.55
50320,0.65,0.75,0.51,0.65,0.56,0.52,0.81,0.61
50324,0.81,0.82,0.65,0.76,0.65,0.71,0.83,0.76
50327,0.74,0.78,0.57,0.65,0.60,0.67,0.84,0.69
50329,0.72,0.75,0.53,0.71,0.55,0.64,0.84,0.56
50334,0.72,0.78,0.57,0.69,0.61,0.67,0.83,0.66
50335,0.78,0.76,0.70,0.71,0.66,0.75,0.88,0.69
50336,0.76,0.77,0.54,0.68,0.55,0.70,0.83,0.69
50342,0.71,0.72,0.57,0.68,0.61,0.68,0.82,0.66
50348,0.76,0.80,0.65,0.68,0.64,0.76,0.86,0.79
50349,0.79,0.81,0.76,0.69,0.61,0.64,0.75,0.64
50350,0.68,0.72,0.55,0.62,0.55,0.71,0.80,0.60
50351,0.75,0.78,0.59,0.69,0.62,0.72,0.83,0.73
50352,0.77,0.79,0.68,0.71,0.66,0.78,0.90,0.74
50353,0.76,0.79,0.59,0.69,0.63,0.71,0.81,0.76
50357,0.83,0.85,0.76,0.75,0.66,0.80,0.89,0.80
50359,0.71,0.77,0.53,0.64,0.66,0.63,0.75,0.57
